epoch,accuracy,loss,lr,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
0,0.2968248426914215,3.0834760665893555,0.001,0.7186146974563599,0.059222262352705,0.5030324459075928,0.5748929977416992,2.1664724349975586,0.9341216087341309,0.26295769214630127,0.7541607022285461
1,0.5187299251556396,2.268209218978882,0.001,0.8274509906768799,0.2509216368198395,0.7383755445480347,0.652401328086853,1.7161178588867188,0.8704581260681152,0.524013340473175,0.8254873752593994
2,0.5830657482147217,2.004138231277466,0.001,0.8204019069671631,0.38351765275001526,0.7792841196060181,0.6709462404251099,1.6165341138839722,0.8684410452842712,0.54303377866745,0.8297669887542725
3,0.6162444949150085,1.8443864583969116,0.001,0.8230719566345215,0.4530859887599945,0.8049708604812622,0.6966238617897034,1.4472028017044067,0.8569527864456177,0.6124584078788757,0.851640522480011
4,0.659055769443512,1.6932836771011353,0.001,0.8455583453178406,0.5195623636245728,0.8204305171966553,0.7194483876228333,1.3659346103668213,0.8704188466072083,0.632429838180542,0.8682833909988403
5,0.6552503108978271,1.6488949060440063,0.001,0.8384529948234558,0.5388274192810059,0.827208936214447,0.7261055707931519,1.3221334218978882,0.8689655065536499,0.6590585112571716,0.8706609606742859
6,0.6803424954414368,1.5561777353286743,0.001,0.8519701957702637,0.5708169937133789,0.8379117846488953,0.7308606505393982,1.2478253841400146,0.8549571633338928,0.664289116859436,0.8801711797714233
7,0.6952075362205505,1.4911432266235352,0.001,0.8595098257064819,0.5922226309776306,0.8451659083366394,0.7337137460708618,1.2470555305480957,0.8491249084472656,0.6690441966056824,0.8863528370857239
8,0.697467029094696,1.4585373401641846,0.001,0.8566797375679016,0.5970983505249023,0.8477821350097656,0.7527341842651367,1.1499344110488892,0.8669805526733398,0.7004279494285583,0.8977651000022888
9,0.7235105037689209,1.3694136142730713,0.001,0.8628719449043274,0.6345582008361816,0.8609822988510132,0.7513076663017273,1.1633085012435913,0.860788881778717,0.7056585550308228,0.8906324505805969
10,0.720537543296814,1.376676321029663,0.001,0.857945442199707,0.6356285214424133,0.8622903823852539,0.7465525269508362,1.195815920829773,0.8584229350090027,0.6833095550537109,0.8968140482902527
11,0.7191104888916016,1.3737268447875977,0.001,0.8647421598434448,0.634082555770874,0.8608633875846863,0.7522586584091187,1.1294885873794556,0.8688427209854126,0.6961483359336853,0.9025201797485352
12,0.7308835983276367,1.3235375881195068,0.001,0.8743646740913391,0.6546557545661926,0.8627660870552063,0.7517831921577454,1.1808197498321533,0.8418367505073547,0.7061340808868408,0.8892058730125427
13,0.7422999143600464,1.2837690114974976,0.001,0.871790885925293,0.6663098931312561,0.873231053352356,0.7717546224594116,1.078338384628296,0.8826619982719421,0.71897292137146,0.9039467573165894
14,0.7421810030937195,1.270019769668579,0.001,0.8752923011779785,0.6677369475364685,0.8713283538818359,0.7879220247268677,1.015144944190979,0.8909925222396851,0.7384688258171082,0.9106038808822632
15,0.7590676546096802,1.2210172414779663,0.001,0.8804646730422974,0.6849803924560547,0.8784635663032532,0.788873016834259,1.0267302989959717,0.8826184868812561,0.7436994910240173,0.9087018370628357
16,0.7503864765167236,1.2426197528839111,0.001,0.8732222318649292,0.6790343523025513,0.8769176006317139,0.7822158932685852,1.0764011144638062,0.8728094696998596,0.7341892719268799,0.9029957056045532
17,0.7704840302467346,1.1675941944122314,0.001,0.8866766691207886,0.7043643593788147,0.8877393007278442,0.8059914112091064,0.983219563961029,0.8868552446365356,0.7603423595428467,0.9139325022697449
18,0.7660839557647705,1.1843467950820923,0.001,0.8836792707443237,0.7037697434425354,0.8828635811805725,0.7860199809074402,1.0281599760055542,0.867222249507904,0.7422729730606079,0.9091773629188538
19,0.7710785865783691,1.1560224294662476,0.001,0.8871833086013794,0.7079319953918457,0.8894042372703552,0.7922016382217407,1.0122525691986084,0.8767876625061035,0.7579647898674011,0.9153590202331543
20,0.7745273113250732,1.1626218557357788,0.001,0.88582444190979,0.710429310798645,0.8885717391967773,0.7855444550514221,1.0387468338012695,0.8853754997253418,0.7456015348434448,0.9034712314605713
21,0.7681056261062622,1.1669787168502808,0.001,0.8818827867507935,0.7085265517234802,0.8859555125236511,0.8026628494262695,0.9926142692565918,0.8858397603034973,0.7674750089645386,0.9210651516914368
22,0.778451681137085,1.151162028312683,0.001,0.886658787727356,0.7144725918769836,0.8910691142082214,0.8145506381988525,0.9553276896476746,0.8972641229629517,0.7641464471817017,0.9196386337280273
23,0.7808300852775574,1.139524221420288,0.001,0.8946510553359985,0.7180401682853699,0.8890474438667297,0.8064669370651245,0.9987390041351318,0.8879781365394592,0.7727056741714478,0.9067997932434082
24,0.7842787504196167,1.1233115196228027,0.001,0.8948220014572144,0.723391592502594,0.8953502178192139,0.8036139011383057,0.9838352799415588,0.8963414430618286,0.7689015865325928,0.9177365899085999
25,0.7996194362640381,1.0703219175338745,0.001,0.9003875255584717,0.7459864616394043,0.9010583758354187,0.8231098651885986,0.9282171130180359,0.9047097563743591,0.7855444550514221,0.9196386337280273
26,0.7964085936546326,1.0713613033294678,0.001,0.8933543562889099,0.7401593327522278,0.903555691242218,0.8012363314628601,1.0427236557006836,0.8693304657936096,0.7655729651451111,0.9220161437988281
27,0.792246401309967,1.0917357206344604,0.001,0.8911887407302856,0.7373052835464478,0.8996313214302063,0.8093200325965881,0.9598538875579834,0.8885263800621033,0.7769852876663208,0.9167855381965637
28,0.7915328741073608,1.0895166397094727,0.001,0.9008708000183105,0.7381377220153809,0.8949934840202332,0.8245363831520081,0.9363275170326233,0.8891863226890564,0.7898240685462952,0.9243937134742737
29,0.7991437911987305,1.0637519359588623,0.001,0.8970166444778442,0.7437269687652588,0.9036746621131897,0.8307180404663086,0.8976714015007019,0.9028757214546204,0.7912505865097046,0.9324774146080017
30,0.7980734705924988,1.0827776193618774,0.001,0.8975025415420532,0.7393268942832947,0.9027232527732849,0.8150261640548706,0.9701403379440308,0.8811827898025513,0.7793627977371216,0.9220161437988281
31,0.7947437167167664,1.0823962688446045,0.001,0.8909194469451904,0.7420620918273926,0.9041503071784973,0.8216832876205444,0.9343238472938538,0.8951656818389893,0.7836424112319946,0.9291488528251648
32,0.8058032989501953,1.034781813621521,0.001,0.9024425148963928,0.7513378262519836,0.9105719923973083,0.8264384269714355,0.9091339707374573,0.898924708366394,0.7950546741485596,0.9320018887519836
33,0.8128196001052856,1.0038189888000488,0.001,0.9085537195205688,0.7679866552352905,0.9119990468025208,0.832144558429718,0.904065728187561,0.8974359035491943,0.7988587617874146,0.9272468090057373
